Data Year,County,Dashboard Fuel Type Group,Fuel Type,Manufacturer,Model,Number of Vehicles
2010,Alameda,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,3
2010,Alameda,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,17
2010,Amador,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2010,Contra Costa,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,10
2010,Fresno,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,2
2010,Humboldt,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2010,Humboldt,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2010,Kern,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2010,Lake,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2010,Los Angeles,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,5
2010,Los Angeles,Battery Electric (BEV),Battery Electric (BEV),MINI,Mini E,79
2010,Los Angeles,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,123
2010,Los Angeles,Fuel Cell (FCEV),Fuel Cell (FCEV),Honda,FCX Clarity,12
2010,Los Angeles,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius,153
2010,Marin,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,15
2010,Monterey,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2010,Napa,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2010,Napa,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,3
2010,Orange,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2010,Orange,Battery Electric (BEV),Battery Electric (BEV),MINI,Mini E,8
2010,Orange,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,29
2010,Orange,Fuel Cell (FCEV),Fuel Cell (FCEV),Honda,FCX Clarity,2
2010,Out Of State,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,2
2010,Out Of State,Battery Electric (BEV),Battery Electric (BEV),MINI,Mini E,6
2010,Out Of State,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,3
2010,Placer,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,2
2010,Placer,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,3
2010,Riverside,Battery Electric (BEV),Battery Electric (BEV),MINI,Mini E,1
2010,Riverside,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,3
2010,Sacramento,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,2
2010,Sacramento,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,4
2010,San Benito,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2010,San Bernardino,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,3
2010,San Bernardino,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2010,San Diego,Battery Electric (BEV),Battery Electric (BEV),MINI,Mini E,2
2010,San Diego,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,27
2010,San Francisco,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,24
2010,San Joaquin,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2010,San Luis Obispo,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2010,San Mateo,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,4
2010,San Mateo,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,46
2010,Santa Barbara,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,3
2010,Santa Barbara,Battery Electric (BEV),Battery Electric (BEV),MINI,Mini E,2
2010,Santa Barbara,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,6
2010,Santa Clara,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,6
2010,Santa Clara,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,87
2010,Santa Cruz,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2010,Santa Cruz,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,5
2010,Sonoma,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,3
2010,Sonoma,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,5
2010,Stanislaus,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2010,Tulare,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2010,Ventura,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,10
2010,Ventura,Battery Electric (BEV),Battery Electric (BEV),MINI,Mini E,21
2010,Ventura,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,11
2010,Yolo,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2011,Alameda,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,3
2011,Alameda,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,273
2011,Alameda,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,23
2011,Alameda,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,63
2011,Amador,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2011,Amador,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,3
2011,Amador,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,2
2011,Butte,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,6
2011,Butte,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,2
2011,Calaveras,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,1
2011,Calaveras,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2011,Calaveras,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,2
2011,Contra Costa,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,114
2011,Contra Costa,Battery Electric (BEV),Battery Electric (BEV),Smart,Fortwo Electric Drive,1
2011,Contra Costa,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,15
2011,Contra Costa,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,28
2011,El Dorado,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,12
2011,El Dorado,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,9
2011,Fresno,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,9
2011,Fresno,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,3
2011,Fresno,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,21
2011,Humboldt,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,7
2011,Humboldt,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2011,Humboldt,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,1
2011,Imperial,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,1
2011,Kern,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,12
2011,Kern,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2011,Kern,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,13
2011,Kings,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,1
2011,Kings,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,2
2011,Lake,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,3
2011,Los Angeles,Battery Electric (BEV),Battery Electric (BEV),Ford,Transit Connect Electric,1
2011,Los Angeles,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,5
2011,Los Angeles,Battery Electric (BEV),Battery Electric (BEV),MINI,Mini E,58
2011,Los Angeles,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,742
2011,Los Angeles,Battery Electric (BEV),Battery Electric (BEV),Smart,Fortwo Electric Drive,7
2011,Los Angeles,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,139
2011,Los Angeles,Fuel Cell (FCEV),Fuel Cell (FCEV),Honda,FCX Clarity,16
2011,Los Angeles,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,331
2011,Los Angeles,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius,162
2011,Madera,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,3
2011,Madera,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,2
2011,Marin,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,63
2011,Marin,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,16
2011,Marin,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,25
2011,Mariposa,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,1
2011,Mendocino,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,3
2011,Merced,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,1
2011,Merced,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,2
2011,Monterey,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,9
2011,Monterey,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,2
2011,Monterey,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,16
2011,Napa,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2011,Napa,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,10
2011,Napa,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,5
2011,Napa,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,8
2011,Nevada,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,3
2011,Nevada,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,1
2011,Orange,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
